mode,train_fraction,seed,n_train_sessions,session_accuracy,macro_f1,recall_bulk_export,recall_normal,recall_project_scan,recall_source_copy
scalars,0.1,0,4,0.875,0.8666666666666666,1.0,1.0,1.0,0.5
scalars,0.1,1,4,0.7916666666666666,0.7787433155080214,0.8333333333333334,1.0,1.0,0.3333333333333333
scalars,0.1,2,4,0.7916666666666666,0.7787433155080214,0.8333333333333334,1.0,1.0,0.3333333333333333
scalars,0.1,3,4,0.7916666666666666,0.7478991596638656,1.0,1.0,1.0,0.16666666666666666
scalars,0.1,4,4,0.8333333333333334,0.8314393939393939,0.8333333333333334,1.0,1.0,0.5
scalars,0.2,0,8,0.9166666666666666,0.9142857142857144,1.0,1.0,1.0,0.6666666666666666
scalars,0.2,1,8,0.7916666666666666,0.7478991596638656,1.0,1.0,1.0,0.16666666666666666
scalars,0.2,2,8,0.9166666666666666,0.9188311688311689,0.8333333333333334,1.0,1.0,0.8333333333333334
scalars,0.2,3,8,0.7916666666666666,0.7478991596638656,1.0,1.0,1.0,0.16666666666666666
scalars,0.2,4,8,0.9166666666666666,0.9188311688311689,0.8333333333333334,1.0,1.0,0.8333333333333334
scalars,0.3,0,16,0.875,0.8666666666666666,1.0,1.0,1.0,0.5
scalars,0.3,1,16,0.8333333333333334,0.8125,1.0,1.0,1.0,0.3333333333333333
scalars,0.3,2,16,0.875,0.8772727272727272,0.8333333333333334,1.0,1.0,0.6666666666666666
scalars,0.3,3,16,0.8333333333333334,0.8125,1.0,1.0,1.0,0.3333333333333333
scalars,0.3,4,16,0.9583333333333334,0.9580419580419581,1.0,1.0,1.0,0.8333333333333334
scalars,0.5,0,28,0.9583333333333334,0.9580419580419581,1.0,1.0,1.0,0.8333333333333334
scalars,0.5,1,28,0.9583333333333334,0.9580419580419581,1.0,1.0,1.0,0.8333333333333334
scalars,0.5,2,28,0.9166666666666666,0.9188311688311689,0.8333333333333334,1.0,1.0,0.8333333333333334
scalars,0.5,3,28,0.9166666666666666,0.9188311688311689,0.8333333333333334,1.0,1.0,0.8333333333333334
scalars,0.5,4,28,0.875,0.8772727272727272,0.8333333333333334,1.0,1.0,0.6666666666666666
scalars,0.7,0,36,0.9583333333333334,0.9580419580419581,1.0,1.0,1.0,0.8333333333333334
scalars,0.7,1,36,0.9583333333333334,0.9580419580419581,1.0,1.0,1.0,0.8333333333333334
scalars,0.7,2,36,0.875,0.8772727272727272,0.8333333333333334,1.0,1.0,0.6666666666666666
scalars,0.7,3,36,0.9583333333333334,0.9580419580419581,1.0,1.0,1.0,0.8333333333333334
scalars,0.7,4,36,0.9166666666666666,0.9188311688311689,0.8333333333333334,1.0,1.0,0.8333333333333334
scalars,1.0,0,56,0.9166666666666666,0.9188311688311689,0.8333333333333334,1.0,1.0,0.8333333333333334
