attack_type,variant,blend_ratio,seed,detection_rate
bulk_export,ens_full,0.0,0,0.0
bulk_export,ens_minus_scalars,0.0,0,0.0
bulk_export,ens_minus_freq,0.0,0,0.0
bulk_export,ens_minus_seq,0.0,0,0.0
bulk_export,ens_minus_trans,0.0,0,0.0
bulk_export,ens_minus_ctx,0.0,0,0.0
bulk_export,ens_full,0.05,0,0.16666666666666666
bulk_export,ens_minus_scalars,0.05,0,0.0
bulk_export,ens_minus_freq,0.05,0,0.16666666666666666
bulk_export,ens_minus_seq,0.05,0,0.16666666666666666
bulk_export,ens_minus_trans,0.05,0,0.16666666666666666
bulk_export,ens_minus_ctx,0.05,0,0.16666666666666666
bulk_export,ens_full,0.05,1,0.16666666666666666
bulk_export,ens_minus_scalars,0.05,1,0.0
bulk_export,ens_minus_freq,0.05,1,0.16666666666666666
bulk_export,ens_minus_seq,0.05,1,0.16666666666666666
bulk_export,ens_minus_trans,0.05,1,0.16666666666666666
bulk_export,ens_minus_ctx,0.05,1,0.16666666666666666
bulk_export,ens_full,0.05,2,0.0
bulk_export,ens_minus_scalars,0.05,2,0.0
bulk_export,ens_minus_freq,0.05,2,0.0
bulk_export,ens_minus_seq,0.05,2,0.0
bulk_export,ens_minus_trans,0.05,2,0.0
bulk_export,ens_minus_ctx,0.05,2,0.0
bulk_export,ens_full,0.05,3,0.0
bulk_export,ens_minus_scalars,0.05,3,0.0
bulk_export,ens_minus_freq,0.05,3,0.0
bulk_export,ens_minus_seq,0.05,3,0.0
bulk_export,ens_minus_trans,0.05,3,0.0
bulk_export,ens_minus_ctx,0.05,3,0.0
bulk_export,ens_full,0.05,4,0.0
bulk_export,ens_minus_scalars,0.05,4,0.0
bulk_export,ens_minus_freq,0.05,4,0.0
bulk_export,ens_minus_seq,0.05,4,0.0
bulk_export,ens_minus_trans,0.05,4,0.0
bulk_export,ens_minus_ctx,0.05,4,0.0
bulk_export,ens_full,0.1,0,0.8333333333333334
bulk_export,ens_minus_scalars,0.1,0,0.0
bulk_export,ens_minus_freq,0.1,0,0.8333333333333334
bulk_export,ens_minus_seq,0.1,0,0.8333333333333334
bulk_export,ens_minus_trans,0.1,0,0.8333333333333334
bulk_export,ens_minus_ctx,0.1,0,0.8333333333333334
bulk_export,ens_full,0.1,1,0.8333333333333334
bulk_export,ens_minus_scalars,0.1,1,0.0
bulk_export,ens_minus_freq,0.1,1,0.8333333333333334
bulk_export,ens_minus_seq,0.1,1,0.8333333333333334
bulk_export,ens_minus_trans,0.1,1,0.8333333333333334
bulk_export,ens_minus_ctx,0.1,1,0.8333333333333334
bulk_export,ens_full,0.1,2,0.6666666666666666
bulk_export,ens_minus_scalars,0.1,2,0.0
bulk_export,ens_minus_freq,0.1,2,0.6666666666666666
bulk_export,ens_minus_seq,0.1,2,0.6666666666666666
bulk_export,ens_minus_trans,0.1,2,0.6666666666666666
bulk_export,ens_minus_ctx,0.1,2,0.6666666666666666
bulk_export,ens_full,0.1,3,1.0
bulk_export,ens_minus_scalars,0.1,3,0.0
bulk_export,ens_minus_freq,0.1,3,1.0
bulk_export,ens_minus_seq,0.1,3,1.0
bulk_export,ens_minus_trans,0.1,3,1.0
bulk_export,ens_minus_ctx,0.1,3,1.0
bulk_export,ens_full,0.1,4,1.0
bulk_export,ens_minus_scalars,0.1,4,0.0
bulk_export,ens_minus_freq,0.1,4,1.0
bulk_export,ens_minus_seq,0.1,4,1.0
bulk_export,ens_minus_trans,0.1,4,1.0
bulk_export,ens_minus_ctx,0.1,4,1.0
bulk_export,ens_full,0.2,0,1.0
bulk_export,ens_minus_scalars,0.2,0,0.0
bulk_export,ens_minus_freq,0.2,0,1.0
bulk_export,ens_minus_seq,0.2,0,1.0
bulk_export,ens_minus_trans,0.2,0,1.0
bulk_export,ens_minus_ctx,0.2,0,1.0
bulk_export,ens_full,0.2,1,1.0
bulk_export,ens_minus_scalars,0.2,1,0.0
bulk_export,ens_minus_freq,0.2,1,1.0
bulk_export,ens_minus_seq,0.2,1,1.0
bulk_export,ens_minus_trans,0.2,1,1.0
bulk_export,ens_minus_ctx,0.2,1,1.0
bulk_export,ens_full,0.2,2,0.8333333333333334
bulk_export,ens_minus_scalars,0.2,2,0.16666666666666666
bulk_export,ens_minus_freq,0.2,2,0.8333333333333334
bulk_export,ens_minus_seq,0.2,2,0.8333333333333334
bulk_export,ens_minus_trans,0.2,2,0.8333333333333334
bulk_export,ens_minus_ctx,0.2,2,0.8333333333333334
bulk_export,ens_full,0.2,3,0.6666666666666666
bulk_export,ens_minus_scalars,0.2,3,0.0
bulk_export,ens_minus_freq,0.2,3,0.6666666666666666
bulk_export,ens_minus_seq,0.2,3,0.6666666666666666
bulk_export,ens_minus_trans,0.2,3,0.6666666666666666
bulk_export,ens_minus_ctx,0.2,3,0.6666666666666666
bulk_export,ens_full,0.2,4,0.8333333333333334
bulk_export,ens_minus_scalars,0.2,4,0.0
bulk_export,ens_minus_freq,0.2,4,0.8333333333333334
bulk_export,ens_minus_seq,0.2,4,0.8333333333333334
bulk_export,ens_minus_trans,0.2,4,0.8333333333333334
bulk_export,ens_minus_ctx,0.2,4,0.8333333333333334
bulk_export,ens_full,0.3,0,1.0
bulk_export,ens_minus_scalars,0.3,0,0.16666666666666666
bulk_export,ens_minus_freq,0.3,0,1.0
bulk_export,ens_minus_seq,0.3,0,1.0
bulk_export,ens_minus_trans,0.3,0,1.0
bulk_export,ens_minus_ctx,0.3,0,1.0
bulk_export,ens_full,0.3,1,1.0
bulk_export,ens_minus_scalars,0.3,1,0.16666666666666666
bulk_export,ens_minus_freq,0.3,1,1.0
bulk_export,ens_minus_seq,0.3,1,1.0
bulk_export,ens_minus_trans,0.3,1,1.0
bulk_export,ens_minus_ctx,0.3,1,1.0
bulk_export,ens_full,0.3,2,1.0
bulk_export,ens_minus_scalars,0.3,2,0.16666666666666666
bulk_export,ens_minus_freq,0.3,2,1.0
bulk_export,ens_minus_seq,0.3,2,1.0
bulk_export,ens_minus_trans,0.3,2,1.0
bulk_export,ens_minus_ctx,0.3,2,1.0
bulk_export,ens_full,0.3,3,1.0
bulk_export,ens_minus_scalars,0.3,3,0.0
bulk_export,ens_minus_freq,0.3,3,1.0
bulk_export,ens_minus_seq,0.3,3,1.0
bulk_export,ens_minus_trans,0.3,3,1.0
